State,ANC_First,ANC_4,PNC_2Days,Delivery_Cost,Institutional_Delivery,CSection_Rate,Doctors_Required,Doctors_Sanctioned,Doctors_InPosition,Doctors_Vacant,Doctors_Shortfall,Specialists_Required,Specialists_Sanctioned,Specialists_InPosition,Specialists_Vacant,Specialists_Shortfall,Nursing_Required,Nursing_Sanctioned,Nursing_InPosition,Nursing_Vacant,Nursing_Shortfall,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall,MMR,CI_Lower,CI_Upper,Maternal_Mortality_Rate,Lifetime_Risk_Pct
Ladakh,85.8,78.4,79.6,3807.0,95.1,37.6,32.0,108.0,54.0,54.0,,28.0,27.0,12.0,15.0,16.0,81.0,53.0,52.0,1.0,29.0,288.0,0.0,32.0,1.0,7.0,0.0,69.0,288.0,,,10.0,32.0,,,2.0,7.0,,,,,,,
Lakshadweep,99.6,88.3,92.6,2533.0,99.6,31.3,4.0,12.0,12.0,0.0,,12.0,8.0,8.0,0.0,4.0,25.0,46.0,46.0,0.0,,9.0,0.0,4.0,0.0,3.0,0.0,0.0,9.0,,,0.0,4.0,,,0.0,3.0,,,,,,,
Madhya Pradesh,75.4,57.5,83.5,1619.0,90.7,12.1,1266.0,1946.0,1631.0,315.0,,1328.0,1193.0,66.0,1127.0,1262.0,3590.0,4612.0,4649.0,,,10287.0,0.0,1266.0,306.0,332.0,24.0,14421.0,10287.0,4134.0,29.0,2311.0,1266.0,1045.0,45.0,577.0,332.0,245.0,42.0,135.0,93.0,176.0,11.0,0.38
Maharashtra,70.9,70.3,85.4,2966.0,94.7,25.4,1853.0,3960.0,3239.0,721.0,,1024.0,452.0,313.0,139.0,711.0,3645.0,4117.0,3172.0,945.0,473.0,10673.0,0.0,1853.0,686.0,256.0,142.0,14255.0,10673.0,3582.0,25.0,2323.0,1853.0,470.0,20.0,580.0,256.0,324.0,56.0,37.0,14.0,61.0,2.0,0.07
Manipur,79.9,79.4,73.4,14518.0,79.9,25.6,74.0,343.0,308.0,35.0,,32.0,32.0,18.0,14.0,14.0,130.0,463.0,405.0,58.0,,393.0,23.0,74.0,21.0,8.0,9.0,546.0,393.0,153.0,28.0,86.0,74.0,12.0,14.0,21.0,8.0,13.0,62.0,,,,,
Meghalaya,53.9,52.2,43.9,3219.0,58.1,8.2,122.0,178.0,171.0,7.0,,112.0,5.0,5.0,0.0,107.0,318.0,749.0,799.0,,,459.0,0.0,122.0,25.0,28.0,0.0,845.0,459.0,386.0,46.0,127.0,122.0,5.0,4.0,31.0,28.0,3.0,10.0,,,,,
Mizoram,72.7,58.0,68.0,7008.0,85.8,10.8,57.0,0.0,57.0,,0.0,36.0,0.0,0.0,0.0,36.0,120.0,0.0,213.0,,,300.0,73.0,57.0,9.0,9.0,0.0,182.0,300.0,,,27.0,57.0,,,6.0,9.0,,,,,,,
NCT Delhi,76.4,77.2,85.4,2548.0,91.8,23.6,5.0,19.0,16.0,3.0,,0.0,,,,,5.0,6.0,6.0,0.0,,12.0,2.0,5.0,545.0,0.0,0.0,21.0,12.0,9.0,43.0,3.0,5.0,,,0.0,0.0,0.0,0.0,,,,,
Nagaland,49.5,20.7,43.9,5778.0,45.7,5.2,129.0,138.0,130.0,8.0,,92.0,,9.0,,83.0,290.0,321.0,423.0,,,434.0,18.0,129.0,7.0,23.0,0.0,395.0,434.0,,,59.0,129.0,,,14.0,23.0,,,,,,,
Odisha,76.9,78.1,88.4,4139.0,92.2,21.6,1288.0,1333.0,990.0,343.0,298.0,1508.0,1512.0,306.0,1206.0,1202.0,3927.0,5667.0,2642.0,3025.0,1285.0,6688.0,0.0,1288.0,105.0,377.0,7.0,8776.0,6688.0,2088.0,24.0,1409.0,1288.0,121.0,9.0,352.0,377.0,,,124.0,74.0,175.0,7.0,0.24
