State,ANC_First,ANC_4,PNC_2Days,Delivery_Cost,Institutional_Delivery,CSection_Rate,Doctors_Required,Doctors_Sanctioned,Doctors_InPosition,Doctors_Vacant,Doctors_Shortfall,Specialists_Required,Specialists_Sanctioned,Specialists_InPosition,Specialists_Vacant,Specialists_Shortfall,Nursing_Required,Nursing_Sanctioned,Nursing_InPosition,Nursing_Vacant,Nursing_Shortfall,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall,MMR,CI_Lower,CI_Upper,Maternal_Mortality_Rate,Lifetime_Risk_Pct
Manipur,79.9,79.4,73.4,14518.0,79.9,25.6,74.0,343,308,35,,32.0,32,18,14,14,130.0,463,405,58,,393.0,23.0,74.0,21.0,8.0,9.0,546,393,153,28,86,74,12,14,21,8,13,62,,,,,
Meghalaya,53.9,52.2,43.9,3219.0,58.1,8.2,122.0,178,171,7,,112.0,5,5,0,107,318.0,749,799,,,459.0,0.0,122.0,25.0,28.0,0.0,845,459,386,46,127,122,5,4,31,28,3,10,,,,,
Mizoram,72.7,58.0,68.0,7008.0,85.8,10.8,57.0,0,57,,0,36.0,0,0,0,36,120.0,0,213,,,300.0,73.0,57.0,9.0,9.0,0.0,182,300,,,27,57,,,6,9,,,,,,,
NCT Delhi,76.4,77.2,85.4,2548.0,91.8,23.6,5.0,19,16,3,,0.0,N App,N App,N App,N App,5.0,6,6,0,,12.0,2.0,5.0,545.0,0.0,0.0,21,12,9,43,3,5,,,0,0,0,0,,,,,
Nagaland,49.5,20.7,43.9,5778.0,45.7,5.2,129.0,138,130,8,,92.0,,9,,83,290.0,321,423,,,434.0,18.0,129.0,7.0,23.0,0.0,395,434,,,59,129,,,14,23,,,,,,,
Odisha,76.9,78.1,88.4,4139.0,92.2,21.6,1288.0,1333,990,343,298,1508.0,1512,306,1206,1202,3927.0,5667,2642,3025,1285,6688.0,0.0,1288.0,105.0,377.0,7.0,8776,6688,2088,24,1409,1288,121,9,352,377,,,124.0,74.0,175.0,7.0,0.24
Puducherry,82.4,86.9,93.1,3259.0,99.6,36.3,24.0,45,45,0,,12.0,0,0,0,12,45.0,133,148,,,53.0,28.0,24.0,15.0,3.0,1.0,97,53,44,45,16,24,,,4,3,1,25,,,,,
Punjab,68.5,59.3,86.2,3745.0,94.3,38.5,422.0,607,418,189,4,600.0,577,151,426,449,1472.0,2917,1854,1063,,2951.0,0.0,422.0,100.0,150.0,10.0,3575,2951,624,17,595,422,173,29,148,150,,,77.0,23.0,132.0,4.0,0.13
Rajasthan,76.3,55.3,85.3,2102.0,94.9,10.4,2133.0,2466,2150,316,,2464.0,1555,525,1030,1939,6445.0,11358,9283,2075,,13523.0,66.0,2133.0,276.0,616.0,69.0,13152,13523,,,2136,2133,3,0,534,616,,,87.0,51.0,124.0,7.0,0.25
Sikkim,63.7,58.4,69.3,8334.0,94.7,32.8,24.0,39,38,1,,8.0,0,0,0,8,38.0,141,145,,,147.0,6.0,24.0,2.0,2.0,0.0,88,147,,,14,24,,,3,2,1,33,,,,,
Tamil Nadu,77.4,89.9,93.2,3316.0,99.6,44.9,1422.0,2986,2722,264,,1540.0,337,249,88,1291,4117.0,8852,7911,941,,8713.0,0.0,1422.0,464.0,385.0,15.0,7235,8713,,,1202,1422,,,300,385,,,25.0,3.0,46.0,1.0,0.04
Telangana,88.5,70.4,87.6,3846.0,97.0,60.7,578.0,1162,802,360,,112.0,112,98,14,14,774.0,2094,1583,511,,4229.0,681.0,578.0,256.0,28.0,54.0,4379,4229,150,3,714,578,136,19,178,28,150,84,48.0,8.0,89.0,3.0,0.09
Tripura,63.2,52.7,71.9,6640.0,89.2,25.1,108.0,,236,,,84.0,,3,,81,255.0,,683,,,956.0,44.0,108.0,9.0,21.0,2.0,645,956,,,101,108,,,25,21,4,16,,,,,
Uttar Pradesh,62.5,42.4,72.0,2300.0,83.4,13.7,2919.0,4448,2890,1558,29,3316.0,2946,918,2028,2398,8722.0,11684,6588,5096,2134,20781.0,0.0,2919.0,594.0,829.0,12.0,35772,20781,14991,42,5955,2919,3036,51,1488,829,659,44,154.0,115.0,192.0,13.0,0.44
Uttarakhand,68.8,61.8,78.0,3343.0,83.2,20.4,531.0,623,483,140,48,208.0,162,36,126,172,895.0,718,351,367,544,1785.0,66.0,531.0,76.0,52.0,28.0,1526,1785,,,252,531,,,63,52,11,17,99.0,52.0,146.0,6.0,0.21
West Bengal,72.6,75.8,68.0,2683.0,91.7,32.6,915.0,1538,975,563,,1392.0,289,97,192,1295,3351.0,5331,5340,,,10357.0,0.0,915.0,456.0,348.0,0.0,13194,10357,2837,22,2171,915,1256,58,542,348,194,36,94.0,56.0,132.0,4.0,0.15
